Département,Date de mise en service,Nom de la voie,Sens de circulation,Nombre de dossiers d'infractions
08,10/08/2012,RD8043,MAUBERT FONTAINE vers HIRSON,1841
08,26/09/2012,RD985,PONTFAVERGER MORONVILLIERS vers PERTHES,712
09,29/06/2005,RD820,TOULOUSE VERS FOIX,946
09,09/09/2006,RN20,L HOSPITALET PRES L ANDORRE VERS AX LES THERMES,3264
09,10/02/2007,RD625,LAVELANET vers MIREPOIX,2475
09,12/11/2007,A66,FOIX vers TOULOUSE,5572
09,03/12/2007,RN20,AX LES THERMES VERS FOIX,2850
09,25/02/2008,RD618,Foix vers Tarascon Sur Ariege,3492
09,02/04/2008,RD919,Toulouse vers Foix,321
09,10/06/2009,RD119,CARCASSONNE vers FOIX,6119
09,17/09/2009,RD117,ST GAUDENS vers ST GIRONS,5335
09,17/06/2010,RN20,ANDORRE vers TOULOUSE,13958
09,11/02/2011,RD628,FOIX vers MONTESQUIEU VOLVESTRE,1904
09,18/04/2011,RD117,FOIX vers ST GIRONS,6455
10,19/04/2005,RD619,PARIS VERS TROYES,457
10,19/04/2005,RD660,SENS vers TROYES,2669
10,29/08/2005,RN77,TROYES VERS AUXERRE,604
10,19/09/2005,RD671,MERREY SUR ARCE vers TROYES,2896
10,17/10/2005,RN77,AUXERRE VERS TROYES,377
10,09/01/2006,RD671,TROYES vers DIJON,2394
10,10/07/2006,RD619,TROYES VERS BAR SUR AUBE,158
10,10/07/2006,RD619,TROYES VERS PARIS,359
10,19/03/2007,RD677,CHALONS EN CHAMPAGNE VERS TROYES,943
10,06/04/2007,RD960,LESMONT vers TROYES,2617
10,23/04/2007,BD GEORGES POMPIDOU,ST PARRES AUX TERTRES VERS TROYES,4468
10,08/11/2007,RD951,NOGENT SUR SEINE vers BRAY SUR SEINE,2455
10,27/02/2008,RD610,TROYES vers DIJON,2732
10,27/02/2008,RD619,Troyes vers Paris,1338
10,02/04/2008,RD396,BAR SUR AUBE vers VILLE SOUS LA FERTE,228
10,10/10/2008,RD660,TROYES vers ESTISSAC,5180
10,01/11/2008,RD619,CHAUMONT vers TROYES,2601
10,29/03/2011,RD373,MESGRIGNY vers MERY SUR SEINE,1597
10,29/04/2011,RD619,BAR SUR AUBE vers CHAUMONT,2390
11,30/03/2005,RD6009,NARBONNE vers PERPIGNAN,18907
